route_long_name,direction_id,stop_sequence,stop_id,stop_lat,stop_lon,Branch
Fairmount Line,0,1,South Station,42.352614,-71.055364,Trunk
Fairmount Line,0,2,Uphams Corner,42.31867,-71.069072,Trunk
Fairmount Line,0,3,Talbot Avenue,42.292246,-71.07814,Trunk
Fairmount Line,0,4,Morton Street,42.280994,-71.085475,Trunk
Fairmount Line,0,5,Fairmount,42.253638,-71.11927,Trunk
Fairmount Line,0,6,Readville,42.23775,-71.132376,Trunk
Fairmount Line,1,1,Readville,42.23775,-71.132376,Trunk
Fairmount Line,1,2,Fairmount,42.253638,-71.11927,Trunk
Fairmount Line,1,3,Morton Street,42.280994,-71.085475,Trunk
Fairmount Line,1,4,Talbot Avenue,42.292246,-71.07814,Trunk
Fairmount Line,1,5,Uphams Corner,42.31867,-71.069072,Trunk
Fairmount Line,1,6,South Station,42.352614,-71.055364,Trunk
Fitchburg/South Acton Line,0,1,North Station,42.365551,-71.061251,Trunk
Fitchburg/South Acton Line,0,2,Porter Square,42.388353,-71.119159,Trunk
Fitchburg/South Acton Line,0,3,Belmont,42.39842,-71.174499,Trunk
Fitchburg/South Acton Line,0,4,Waverley,42.387489,-71.189864,Trunk
Fitchburg/South Acton Line,0,5,Waltham,42.374424,-71.236595,Trunk
Fitchburg/South Acton Line,0,6,Brandeis/ Roberts,42.361728,-71.260854,Trunk
Fitchburg/South Acton Line,0,7,Kendal Green,42.37897,-71.282411,Trunk
Fitchburg/South Acton Line,0,8,Hastings,42.385755,-71.289203,Trunk
Fitchburg/South Acton Line,0,9,Silver Hill,42.395625,-71.302357,Trunk
Fitchburg/South Acton Line,0,10,Lincoln,42.414229,-71.325344,Trunk
Fitchburg/South Acton Line,0,11,Concord,42.457147,-71.358051,Trunk
Fitchburg/South Acton Line,0,12,West Concord,42.456372,-71.392371,Trunk
Fitchburg/South Acton Line,0,13,South Acton,42.461575,-71.455322,Trunk
Fitchburg/South Acton Line,0,14,Littleton / Rte 495,42.519236,-71.502643,Trunk
Fitchburg/South Acton Line,0,15,Ayer,42.560047,-71.590117,Trunk
Fitchburg/South Acton Line,0,16,Shirley,42.544726,-71.648363,Trunk
Fitchburg/South Acton Line,0,17,North Leominster,42.540577,-71.739402,Trunk
Fitchburg/South Acton Line,0,18,Fitchburg,42.581739,-71.79275,Trunk
Fitchburg/South Acton Line,1,1,Fitchburg,42.581739,-71.79275,Trunk
Fitchburg/South Acton Line,1,2,North Leominster,42.540577,-71.739402,Trunk
Fitchburg/South Acton Line,1,3,Shirley,42.544726,-71.648363,Trunk
Fitchburg/South Acton Line,1,4,Ayer,42.560047,-71.590117,Trunk
Fitchburg/South Acton Line,1,5,Littleton / Rte 495,42.519236,-71.502643,Trunk
Fitchburg/South Acton Line,1,6,South Acton,42.461575,-71.455322,Trunk
Fitchburg/South Acton Line,1,7,West Concord,42.456372,-71.392371,Trunk
Fitchburg/South Acton Line,1,8,Concord,42.457147,-71.358051,Trunk
Fitchburg/South Acton Line,1,9,Lincoln,42.414229,-71.325344,Trunk
Fitchburg/South Acton Line,1,10,Silver Hill,42.395625,-71.302357,Trunk
Fitchburg/South Acton Line,1,11,Hastings,42.385755,-71.289203,Trunk
Fitchburg/South Acton Line,1,12,Kendal Green,42.37897,-71.282411,Trunk
Fitchburg/South Acton Line,1,13,Brandeis/ Roberts,42.361728,-71.260854,Trunk
Fitchburg/South Acton Line,1,14,Waltham,42.374424,-71.236595,Trunk
Fitchburg/South Acton Line,1,15,Waverley,42.387489,-71.189864,Trunk
Fitchburg/South Acton Line,1,16,Belmont,42.39842,-71.174499,Trunk
Fitchburg/South Acton Line,1,17,Porter Square,42.388353,-71.119159,Trunk
Fitchburg/South Acton Line,1,18,North Station,42.365551,-71.061251,Trunk
Framingham/Worcester Line,0,1,South Station,42.352614,-71.055364,Trunk
Framingham/Worcester Line,0,2,Back Bay,42.347158,-71.075769,Trunk
Framingham/Worcester Line,0,3,Yawkey,42.346796,-71.098937,Trunk
Framingham/Worcester Line,0,4,Newtonville,42.351603,-71.207338,Trunk
Framingham/Worcester Line,0,5,West Newton,42.348599,-71.22901,Trunk
Framingham/Worcester Line,0,6,Auburndale,42.346087,-71.246658,Trunk
Framingham/Worcester Line,0,7,Wellesley Farms,42.323608,-71.272288,Trunk
Framingham/Worcester Line,0,8,Wellesley Hills,42.310027,-71.276769,Trunk
Framingham/Worcester Line,0,9,Wellesley Square,42.296427,-71.294311,Trunk
Framingham/Worcester Line,0,10,Natick,42.285239,-71.347641,Trunk
Framingham/Worcester Line,0,11,West Natick,42.281855,-71.390548,Trunk
Framingham/Worcester Line,0,12,Framingham,42.276719,-71.416792,Trunk
Framingham/Worcester Line,0,13,Ashland,42.261694,-71.478813,Trunk
Framingham/Worcester Line,0,14,Southborough,42.267518,-71.523621,Trunk
Framingham/Worcester Line,0,15,Westborough,42.269184,-71.652005,Trunk
Framingham/Worcester Line,0,16,Grafton,42.246291,-71.684614,Trunk
Framingham/Worcester Line,0,17,Worcester / Union Station,42.261796,-71.793881,Trunk
Framingham/Worcester Line,1,1,Worcester / Union Station,42.261796,-71.793881,Trunk
Framingham/Worcester Line,1,2,Grafton,42.246291,-71.684614,Trunk
Framingham/Worcester Line,1,3,Westborough,42.269184,-71.652005,Trunk
Framingham/Worcester Line,1,4,Southborough,42.267518,-71.523621,Trunk
Framingham/Worcester Line,1,5,Ashland,42.261694,-71.478813,Trunk
Framingham/Worcester Line,1,6,Framingham,42.276719,-71.416792,Trunk
Framingham/Worcester Line,1,7,West Natick,42.281855,-71.390548,Trunk
Framingham/Worcester Line,1,8,Natick,42.285239,-71.347641,Trunk
Framingham/Worcester Line,1,9,Wellesley Square,42.296427,-71.294311,Trunk
Framingham/Worcester Line,1,10,Wellesley Hills,42.310027,-71.276769,Trunk
Framingham/Worcester Line,1,11,Wellesley Farms,42.323608,-71.272288,Trunk
Framingham/Worcester Line,1,12,Auburndale,42.346087,-71.246658,Trunk
Framingham/Worcester Line,1,13,West Newton,42.348599,-71.22901,Trunk
Framingham/Worcester Line,1,14,Newtonville,42.351603,-71.207338,Trunk
Framingham/Worcester Line,1,15,Yawkey,42.346796,-71.098937,Trunk
Framingham/Worcester Line,1,16,Back Bay,42.347158,-71.075769,Trunk
Framingham/Worcester Line,1,17,South Station,42.352614,-71.055364,Trunk
Franklin Line,0,1,South Station,42.352614,-71.055364,Trunk
Franklin Line,0,2,Back Bay,42.347158,-71.075769,Trunk
Franklin Line,0,3,Ruggles,42.335545,-71.090524,Trunk
Franklin Line,0,4,Hyde Park,42.255121,-71.125022,Trunk
Franklin Line,0,5,Readville,42.23775,-71.132376,Trunk
Franklin Line,0,6,Endicott,42.232881,-71.160413,Trunk
Franklin Line,0,7,Dedham Corp Center,42.225896,-71.173806,Trunk
Franklin Line,0,8,Islington,42.220714,-71.183406,Trunk
Franklin Line,0,9,Norwood Depot,42.195668,-71.196784,Trunk
Franklin Line,0,10,Norwood Central,42.190776,-71.199748,Trunk
Franklin Line,0,11,Windsor Gardens,42.172192,-71.220704,Trunk
Franklin Line,0,12,Plimptonville,42.159123,-71.236125,Trunk
Franklin Line,0,13,Walpole,42.144192,-71.259016,Trunk
Franklin Line,0,14,Norfolk,42.120694,-71.325217,Trunk
Franklin Line,0,15,Franklin,42.083591,-71.396735,Trunk
Franklin Line,0,16,Forge Park / 495,42.090704,-71.430342,Trunk
Franklin Line,1,1,Forge Park / 495,42.090704,-71.430342,Trunk
Franklin Line,1,2,Franklin,42.083591,-71.396735,Trunk
Franklin Line,1,3,Norfolk,42.120694,-71.325217,Trunk
Franklin Line,1,4,Walpole,42.144192,-71.259016,Trunk
Franklin Line,1,5,Plimptonville,42.159123,-71.236125,Trunk
Franklin Line,1,6,Windsor Gardens,42.172192,-71.220704,Trunk
Franklin Line,1,7,Norwood Central,42.190776,-71.199748,Trunk
Franklin Line,1,8,Norwood Depot,42.195668,-71.196784,Trunk
Franklin Line,1,9,Islington,42.220714,-71.183406,Trunk
Franklin Line,1,10,Dedham Corp Center,42.225896,-71.173806,Trunk
Franklin Line,1,11,Endicott,42.232881,-71.160413,Trunk
Franklin Line,1,12,Readville,42.23775,-71.132376,Trunk
Franklin Line,1,13,Hyde Park,42.255121,-71.125022,Primary
Franklin Line,1,13,Fairmount,42.253638,-71.11927,Secondary
Franklin Line,1,14,Ruggles,42.335545,-71.090524,Primary
Franklin Line,1,14,Morton Street,42.280994,-71.085475,Secondary
Franklin Line,1,15,Back Bay,42.347158,-71.075769,Primary
